Year,Semester,Academic Year,CRN,Subject ,Course,Course Type,Credits,Title,Cap,Act,Instructor,Contact Hours,Faculty Type
2019,Spring,2018-2019,40041,CSIS,10,IS,0,Intro to Computer App.-Lab,16,16,Laura Schindler (P),2.0,Adjunct
2019,Spring,2018-2019,40040,CSIS,10,IS,0,Intro to Computer App.-Lab,16,16,Linda M. Armitage (P),2.0,Adjunct
2019,Spring,2018-2019,40038,CSIS,10,IS,0,Intro to Computer App.-Lab,16,16,Mark D. Arunasalem (P),2.0,Adjunct
2019,Spring,2018-2019,40870,CSIS,10,IS,0,Intro to Computer App.-Lab,16,16,Ira J Goldstein (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42658,CSIS,10,IS,3,Intro to Computer Applications,32,32,Ira J Goldstein (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,43901,CSIS,11,IS,1,Prob Solving Spreadsheets,16,13,Pauline White (P),1.5,FT Visitor/Teaching
2019,Spring,2018-2019,43999,CSIS,11,IS,1,Prob Solving Spreadsheets,16,14,Pauline White (P),1.5,FT Visitor/Teaching
2019,Spring,2018-2019,45232,CSIS,11,IS,1,Prob Solving Sprdshts Hybrid,16,13,Ira J Goldstein (P),1.5,Tenure/Tenure Track
2019,Spring,2018-2019,45233,CSIS,11,IS,1,Prob Solving Sprdshts Hybrid,16,10,Ira J Goldstein (P),1.5,Tenure/Tenure Track
2019,Spring,2018-2019,45234,CSIS,11,IS,1,Prob Solving Sprdshts Hybrid,16,15,Jami L. Cotler (P),1.5,Tenure/Tenure Track
2019,Spring,2018-2019,43870,CSIS,110,Both,0,Intro to CS: MM Python-Lab,16,16,MaryAnne L. Egan (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42660,CSIS,110,Both,0,Intro to CS: MM Python Lab,16,16,MaryAnne L. Egan (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,40357,CSIS,110,Both,3,Intro to CS: MM Python,32,32,MaryAnne L. Egan (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42890,CSIS,110,Both,0,Intro to CS: GameMaker-Lab,16,14,Robin Y. Flatland (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42888,CSIS,110,Both,0,Intro to CS: GameMaker-Lab,16,9,Robin Y. Flatland (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42886,CSIS,110,Both,3,Intro to CS: GameMaker,32,23,Robin Y. Flatland (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,40192,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Linda M. Armitage (P),2.0,Adjunct
2019,Spring,2018-2019,40196,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Linda M. Armitage (P),2.0,Adjunct
2019,Spring,2018-2019,40153,CSIS,114,IS,3,Management Information Systems,32,32,Linda M. Armitage (P),2.0,Adjunct
2019,Spring,2018-2019,40873,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Daniel J. DiTursi (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,40195,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Daniel J. DiTursi (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,40658,CSIS,114,IS,3,Management Information Systems,32,32,Daniel J. DiTursi (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,40197,CSIS,114,IS,0,Management Information Sys-Lab,16,16,John J. Armitage (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,40362,CSIS,114,IS,0,Management Information Sys-Lab,16,16,John J. Armitage (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,40275,CSIS,114,IS,3,Management Information Systems,32,32,John J. Armitage (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,42661,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Ting Liu (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,40194,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Ting Liu (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,40121,CSIS,114,IS,3,Management Information Systems,32,32,Ting Liu (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,40977,CSIS,115,IS,3,Database Design and App fo Bus,16,16,John J. Armitage (P),3.0,FT Visitor/Teaching
2019,Spring,2018-2019,43996,CSIS,115,IS,3,Database Design and App fo Bus,16,16,John J. Armitage (P),3.0,FT Visitor/Teaching
2019,Spring,2018-2019,40876,CSIS,120,CS,0,Intro to Software Dev-Lab,16,15,Pauline White (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,42893,CSIS,120,CS,4,Intro to Software Development,16,15,Pauline White (P),3.0,FT Visitor/Teaching
2019,Spring,2018-2019,40487,CSIS,120,CS,0,Intro to Software Dev-Lab,16,14,Margaret S. Fryling (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,40053,CSIS,120,CS,0,Intro to Software Dev-Lab,17,16,Margaret S. Fryling (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,40486,CSIS,120,CS,4,Intro to Software Development,32,30,Margaret S. Fryling (P),3.0,Tenure/Tenure Track
2019,Spring,2018-2019,40052,CSIS,120,CS,0,Intro to Software Dev-Lab,16,16,Sharon A. Small (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,43589,CSIS,120,CS,0,Intro to Software Dev-Lab,16,13,Sharon A. Small (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,40051,CSIS,120,CS,4,Intro to Software Development,32,29,Sharon A. Small (P),3.0,Tenure/Tenure Track
2019,Spring,2018-2019,43873,CSIS,180,IS,0,Web Design-Lab,16,16,Alok K. Mehta (P),2.0,Adjunct
2019,Spring,2018-2019,44479,CSIS,180,IS,0,Web Design-Lab,16,16,Alok K. Mehta (P),2.0,Adjunct
2019,Spring,2018-2019,43872,CSIS,180,IS,3,Web Design,32,32,Alok K. Mehta (P),2.0,Adjunct
2019,Spring,2018-2019,42036,CSIS,180,IS,0,Web Design - Lab,16,10,Laura Schindler (P),2.0,Adjunct
2019,Spring,2018-2019,42662,CSIS,180,IS,0,Web Design-Lab,16,9,Laura Schindler (P),2.0,Adjunct
2019,Spring,2018-2019,42035,CSIS,180,IS,3,Web Design,32,19,Laura Schindler (P),2.0,Adjunct
2019,Spring,2018-2019,44980,CSIS,201,IS,0,Diversity in CS - Lab,24,12,MaryAnne L. Egan (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,44978,CSIS,201,IS,3,Diversity in CS,24,12,MaryAnne L. Egan (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,44219,CSIS,210,CS,0,Data Structures-Lab,16,10,Pauline White (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,42038,CSIS,210,CS,0,Data Structures - Lab,16,16,Pauline White (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,40280,CSIS,210,CS,3,Data Structures,32,26,Pauline White (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,40168,CSIS,225,CS,0,Advanced Programming Lab,13,4,Pauline White (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,42897,CSIS,225,CS,0,Advanced Programming Lab,13,12,Darren T. Lim (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42898,CSIS,225,CS,0,Advanced Programming-Lab,16,15,Darren T. Lim (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42896,CSIS,225,CS,3,Advanced Programming,39,31,Darren T. Lim (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,44984,CSIS,320,CS,0,Machine Learning-Lab,16,15,Daniel J. DiTursi (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,44986,CSIS,320,CS,0,Machine Learning-Lab,16,11,Daniel J. DiTursi (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,44983,CSIS,320,CS,3,Machine Learning,32,26,Daniel J. DiTursi (P),2.0,FT Visitor/Teaching
2019,Spring,2018-2019,43592,CSIS,351,CS,3,Theory of Computation,32,32,James R. Matthews (P),3.0,Tenure/Tenure Track
2019,Spring,2018-2019,44990,CSIS,380,CS,0,Computer Graphics-Lab,16,16,Robin Y. Flatland (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,44989,CSIS,380,CS,0,Computer Graphics-Lab,16,16,Robin Y. Flatland (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,44988,CSIS,380,CS,3,Computer Graphics,32,32,Robin Y. Flatland (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42903,CSIS,385,CS,0,Design+Analysis of Alg Lab,14,13,James D. Teresco (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42905,CSIS,385,CS,0,Design+Analysis of Alg Lab,13,13,James D. Teresco (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,43594,CSIS,385,CS,0,Design+Analysis of Alg-Lab,13,13,James D. Teresco (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42995,CSIS,385,CS,3,Design+Analysis of Algorithm,40,39,James D. Teresco (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,43880,CSIS,390,CS,0,Web Application Dev Lab,17,16,Eric A. Breimer (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,43881,CSIS,390,CS,0,Web Application Dev - Lab,16,13,Eric A. Breimer (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,43877,CSIS,390,CS,3,Web Application Development,32,29,Eric A. Breimer (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,43597,CSIS,415,CS,0,Software Engineering II-Lab,16,11,Jami L. Cotler (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,43598,CSIS,415,CS,0,Software Engineering II-Lab,16,6,Jami L. Cotler (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,43997,CSIS,415,CS,0,Software Engineering II-Lab,16,16,Jami L. Cotler (P),2.0,Tenure/Tenure Track
2019,Spring,2018-2019,42045,CSIS,415,CS,3,Software Engineering II,38,33,Jami L. Cotler (P),2.0,Tenure/Tenure Track
